title,authors,venue,year,citations,paper,preprint,code
Empirical variance component regression for sequence-function relationships,"Juannan Zhou, Mandy Wong, Wei-Chia Chen, Adrian Krainer, Justin Kinney, David McCandlish",bioRxiv,2020,,,google.com/search?q=Empirical+variance+component+regression+for+sequence-function+relationships&rlz=1C1RXQR_enUS1151US1151&oq=Empirical+variance+component+regression+for+sequence-function+relationships&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGD3SAQc2MzJqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,
Evolution of DNA replication origin specification and gene silencing mechanisms,"Y Hu, A Tareen, YJ Sheu, WT Ireland, C Speck, H Li, L Joshua-Tor, JB Kinney, B Stillman","Nature communications 11 (1), 5175, 2020",2020,,https://www.nature.com/articles/s41467-020-18964-x,,
"Deciphering the regulatory genome of Escherichia coli, one hundred promoters at a time","William T Ireland, Suzannah M Beeler, Emanuel Flores-Bautista, Nicholas S McCarty, Tom Röschinger, Nathan M Belliveau, Michael J Sweredoski, Annie Moradian, Justin B Kinney, Rob Phillips","Elife 9, e55308, 2020",2020,,https://elifesciences.org/articles/55308,,
Logomaker: beautiful sequence logos in Python,"Ammar Tareen, Justin B Kinney","Bioinformatics 36 (7), 2272-2274, 2020",2020,,https://academic.oup.com/bioinformatics/article/36/7/2272/5671693,,https://github.com/jbkinney/logomaker
Biophysical models of cis-regulation as interpretable neural networks,"Ammar Tareen, Justin B Kinney","arXiv preprint arXiv:2001.03560, 2019",2019,,,https://arxiv.org/abs/2001.03560,
Massively parallel assays and quantitative sequence-function relationships,"Justin B Kinney, David M McCandlish","Annual review of genomics and human genetics 20 (1), 99-127, 2019",2019,,https://www.annualreviews.org/content/journals/10.1146/annurev-genom-083118-014845,,
Mapping DNA sequence to transcription factor binding energy in vivo,"Stephanie L Barnes, Nathan M Belliveau, William T Ireland, Justin B Kinney, Rob Phillips","PLoS computational biology 15 (2), e1006226, 2019",2019,,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006226,,
Epistasis in a fitness landscape defined by antibody-antigen binding free energy,"Rhys M Adams, Justin B Kinney, Aleksandra M Walczak, Thierry Mora","Cell systems 8 (1), 86-93. e3, 2019",2019,,https://www.cell.com/cell-systems/fulltext/S2405-4712(18)30478-2,,
Measuring cis-regulatory energetics in living cells using allelic manifolds,"Talitha L Forcier, Andalus Ayaz, Manraj S Gill, Daniel Jones, Rob Phillips, Justin B Kinney","Elife 7, e40618, 2018",2018,,https://elifesciences.org/articles/40618,,
A transcription factor addiction in leukemia imposed by the MLL promoter sequence,"Bin Lu, Olaf Klingbeil, Yusuke Tarumoto, Tim DD Somerville, Yu-Han Huang, Yiliang Wei, Dorothy C Wai, Jason KK Low, Joseph P Milazzo, Xiaoli S Wu, Zhendong Cao, Xiaomei Yan, Osama E Demerdash, Gang Huang, Joel P Mackay, Justin B Kinney, Junwei Shi, Christopher R Vakoc","Cancer Cell 34 (6), 970-981. e8, 2018",2018,,https://www.sciencedirect.com/science/article/pii/S1535610818304811,,
Density estimation on small data sets,"Wei-Chia Chen, Ammar Tareen, Justin B Kinney","Physical review letters 121 (16), 160605, 2018",2018,,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.121.160605,,
